iter	RMSE
129	356.2980956
130	356.0352957
131	355.3093614
132	354.7550494
133	353.833616
134	353.0496543
135	352.2642982
136	351.8826403
137	350.8792918
138	350.4224422
139	350.0977556
140	349.4091038
141	348.9278181
142	348.5924199
143	348.3424178
144	347.8566509
145	346.4083931
146	345.9300469
147	345.4861848
148	345.1552247
149	344.7674448
150	344.5686191
151	343.6228082
152	343.3251233
153	342.8525228
154	342.4048939
155	342.0057809
156	341.4538337
157	341.3492433
158	341.1070218
159	340.2524691
160	339.9973488
161	339.2057116
162	338.826164
163	338.0542264
164	337.4838996
165	336.8375041
166	336.1969379
167	335.9125557
168	335.5316955
169	335.2050279
170	334.7163211
171	334.236522
172	333.5191589
173	332.9077439
174	332.0452188
175	331.4799498
176	331.0316692
177	330.6782298
178	330.271936
179	329.7715929
180	329.3994899
181	328.9161839
182	328.8257098
183	328.4430308
184	328.1302474
185	327.5478165
186	326.9876167
187	326.6809846
188	326.1306599
189	325.9184938
190	325.5001033
191	325.1819331
192	324.8222403
193	324.5134503
194	324.0747763
195	323.8073812
196	323.4247913
197	323.1302022
198	322.8469027
199	322.7255073
200	322.4291985
201	322.1671302
202	321.8198591
203	321.440516
204	321.0007637
205	320.444003
206	319.9871703
207	319.8182492
208	319.61099
209	319.5118259
210	319.2406316
211	318.9855253
212	318.8068397
213	318.4608625
214	318.2697704
215	318.0488111
216	317.1755773
217	316.3336248
218	316.1322105
219	315.6255764
220	315.4602458
221	315.192602
222	314.8453395
223	314.3621741
224	314.180316
225	313.8913212
226	313.4835805
227	313.2961725
228	312.9570475
229	312.7375693
230	312.3154565
231	312.0180568
232	311.7727819
233	311.4986604
234	311.1370088
235	310.9421629
236	310.5931517
237	310.3535461
238	310.1785946
239	309.7662014
240	309.1248102
241	308.9093188
242	308.7333961
243	308.4163128
244	308.2179804
245	307.9375943
246	307.8168756
247	307.6669578
248	307.3611867
249	307.1165421
250	306.7278197
251	306.3266005
252	306.1270209
253	305.9346438
254	305.6238378
255	305.2588767
256	304.9546786
257	304.8358985
258	304.6074229
259	304.3325606
260	304.1944218
261	303.9778474
262	303.8049475
263	303.5120414
264	303.0095951
265	302.7102836
266	302.344723
267	302.0170745
268	301.6123689
269	301.0902607
270	300.814948
271	300.6534256
272	300.3861715
273	299.8703534
274	299.6447907
275	299.3948351
276	299.2827508
277	299.1485899
278	298.8666547
279	298.6706706
280	298.3916049
281	297.9608517
282	297.8358333
283	297.638146
284	297.3690609
285	297.108541
286	296.9338294
287	296.7170691
288	296.4426174
289	295.8786949
290	295.7018818
291	295.4664906
292	295.3147649
293	295.1103212
294	294.8146745
295	294.2789027
296	294.1197518
297	293.9470426
298	293.8188339
299	293.7019274
300	293.5421917
301	293.4139917
302	293.196152
303	293.0063107
304	292.5870699
305	292.4540078
306	292.3061451
307	292.0082311
308	291.9035573
309	291.480327
310	291.2489521
311	290.900696
312	290.7740278
313	290.5408285
314	290.3400871
315	290.1595737
316	289.9678195
317	289.8294845
318	289.6804952
319	289.5154941
320	289.0905255
321	288.8975968
322	288.7034202
323	288.5187376
324	288.3115522
325	288.1320861
326	287.8352494
327	287.692823
328	287.5978244
329	287.4297713
330	287.2972771
331	287.0906137
332	286.9221117
333	286.6183482
334	286.3638799
335	286.2722571
336	286.0255524
337	285.8639018
338	285.7144708
339	285.4481464
340	285.0601823
341	284.852087
342	284.7214402
343	284.4951457
344	284.2566932
345	284.0049018
346	283.2730581
347	283.1350803
348	282.9440563
349	282.7628267
350	282.5324453
351	282.4479074
352	282.3364109
353	281.5793222
354	281.5099718
355	281.2223574
356	281.0792018
357	280.8247424
358	280.6831039
359	280.4915877
360	280.3184716
361	280.0846799
362	279.9282349
363	279.7316082
364	279.5937264
365	279.4768181
366	279.3737508
367	279.0726189
368	278.957327
369	278.6882964
370	278.5763897
371	278.3463643
372	277.9631532
373	277.8724703
374	277.7676185
375	277.6074617
376	277.4680533
377	277.3587822
378	277.2418218
379	277.0307363
380	276.902862
381	276.7430968
382	276.6724686
383	276.5185956
384	276.3752494
385	276.2389117
386	276.1061351
387	275.9570501
388	275.7598955
389	275.6360277
390	275.5327225
391	275.4001986
392	275.2778436
393	275.0276779
394	274.902754
395	274.7328413
396	274.5418283
397	274.3632381
398	274.2840303
399	274.1306043
400	273.7556798
401	273.6765482
402	273.4845585
403	273.3424631
404	273.1290152
405	272.8750704
406	272.7638927
407	272.6895849
408	272.5863615
409	272.3966284
410	272.1171099
411	271.963289
412	271.7982831
413	271.6100309
414	271.4737335
415	271.3171664
416	271.1207078
417	270.8994395
418	270.7328199
419	270.5664197
420	270.4411396
421	270.2685966
422	270.0499503
423	269.8714139
424	269.7555266
425	269.6458762
426	269.4413958
427	269.2224956
428	269.0614616
429	268.9494903
430	268.793546
431	268.6068772
432	268.2578458
433	268.1604022
434	268.0559899
435	267.5001822
436	267.4185751
437	267.2243035
438	266.997699
439	266.9141703
440	266.7541106
441	266.629939
442	266.5185669
443	266.3003037
444	266.254582
445	266.1414024
446	266.0044181
447	265.8079385
448	265.7187219
449	265.6088946
450	265.5219625
451	265.4441506
452	265.3284228
453	265.2827387
454	265.164052
455	265.1036208
456	265.0398751
457	264.8981966
458	264.7793238
459	264.7381383
460	264.6736875
461	264.4761781
462	264.2839876
463	264.1586962
464	263.9916034
465	263.9214
466	263.7379993
467	263.5946158
468	263.4156039
469	263.2586429
470	263.0685158
471	262.979336
472	262.9413613
473	262.7973636
474	262.7189657
475	262.582864
476	262.497004
477	262.3462179
478	262.2560313
479	261.7138983
480	261.6393101
481	261.4423686
482	261.2477517
483	261.1718213
484	261.0815905
485	260.9420613
486	260.5766622
487	260.5182322
488	260.3967326
489	260.3023147
490	260.2013477
491	260.0875159
492	259.9790237
493	259.9500922
494	259.8482201
495	259.7614003
496	259.6467046
497	259.4906532
498	259.3400647
499	259.2220318
500	259.0846955
501	258.9546737
502	258.8602486
503	258.8004493
504	258.7404397
505	258.6812581
506	258.2582165
507	258.0647711
508	257.9238491
509	257.8257379
510	257.6701615
511	257.5336609
512	257.4708324
513	257.4239937
514	257.353381
515	257.041647
516	256.9156635
517	256.8332372
518	256.7682582
519	256.6708933
520	256.5231635
521	256.1903571
522	255.811133
523	255.7314735
524	255.5764828
525	255.5219667
526	255.2380477
527	254.9162798
528	254.858546
529	254.8160989
530	254.757687
531	254.6208653
532	254.5469082
533	254.3492273
534	254.2894806
535	254.1555631
536	253.9863628
537	253.8528431
538	253.733531
539	253.6341281
540	253.3636385
541	253.2676305
542	253.1045342
543	253.0524405
544	252.9786849
545	252.930354
546	252.8880139
547	252.8038293
548	252.7059568
549	252.5823233
550	252.1980338
551	252.1360209
552	251.9006131
553	251.8335254
554	251.7656701
555	251.5653564
556	251.322236
557	251.2223269
558	251.076538
559	250.9156486
560	250.8139856
561	250.7447686
562	250.6870298
563	250.5803199
564	250.3845235
565	250.2801357
566	250.2186049
567	250.1790414
568	250.0736098
569	250.0096181
570	249.8983049
571	249.7587194
572	249.6189249
573	249.4938199
574	249.3397706
575	249.2558002
576	249.1311976
577	249.049212
578	248.9676368
579	248.8251805
580	248.6150516
581	248.4516915
582	248.3379553
583	248.1139692
584	248.0742164
585	248.0274324
586	247.9274108
587	247.8728672
588	247.7870373
589	247.7279644
590	247.6629416
591	247.5734468
592	247.4967385
593	247.3846908
594	247.2646064
595	247.1708994
596	247.0897471
597	247.0223962
598	246.9444878
599	246.7305504
600	246.6995135
601	246.6728726
602	246.6294067
603	246.5210288
604	246.4192836
605	246.3164205
606	246.2770998
607	246.1514686
608	246.0882049
609	246.0191413
610	245.9381476
611	245.8221188
612	245.7148694
613	245.6399303
614	245.5983212
615	245.5058782
616	245.4493398
617	245.318572
618	245.2357263
619	245.1650381
620	245.1117531
621	245.0230376
622	244.9861244
623	244.8749958
624	244.75193
625	244.7025306
626	244.53292
627	244.4008674
628	244.3355459
629	244.1743252
630	244.0796698
631	243.9688127
632	243.8698578
633	243.661623
634	243.5355593
635	243.403644
636	243.3126348
637	243.2309414
638	243.104744
639	242.9994397
640	242.9204502
641	242.878719
642	242.8310388
643	242.782953
644	242.6625659
645	242.5979734
646	242.4883475
647	242.4233867
648	242.3514738
649	242.2745355
650	242.2378029
651	242.1882279
652	242.1309223
653	242.0129031
654	241.9634396
655	241.8695248
656	241.6235289
657	241.4198595
658	241.332592
659	241.2795514
660	241.1945809
661	241.1057338
662	240.9813682
663	240.9366044
664	240.6691814
665	240.6120798
666	240.5128531
667	240.4940247
668	240.3768252
669	240.3127361
670	240.2177226
671	240.129013
672	240.0768858
673	240.0604123
674	239.9758949
675	239.9315941
676	239.7319836
677	239.7016533
678	239.5861419
679	239.5120283
680	239.4685056
681	239.2761018
682	239.2303133
683	239.1903816
684	239.1129119
685	239.0494786
686	238.8907911
687	238.8237194
688	238.7113947
689	238.660821
690	238.6098791
691	238.5678428
692	238.4552528
693	238.4109511
694	238.3835057
695	238.324082
696	238.2746297
697	238.2515032
698	238.078974
699	237.9536595
700	237.846998
701	237.793096
702	237.765045
703	237.6702425
704	237.6001527
705	237.4741576
706	237.3737874
707	237.2968413
708	237.2496305
709	237.1989747
710	236.9854911
711	236.9407
712	236.868747
713	236.6944968
714	236.5294798
715	236.4493575
716	236.4070367
717	236.3376782
718	236.3043546
719	236.2004753
720	236.1002939
721	236.0441861
722	235.7368248
723	235.6363077
724	235.5880784
725	235.5001373
726	235.4710963
727	235.4338958
728	235.394014
729	235.2941912
730	235.1730807
731	235.0727163
732	235.0557839
733	235.028441
734	234.9971175
735	234.926207
736	234.8982309
737	234.7631941
738	234.72517
739	234.5614989
740	234.4930032
741	234.3777434
742	234.291974
743	234.2687488
744	234.2184092
745	234.1846213
746	234.1156587
747	233.9126603
748	233.8300114
749	233.7788708
750	233.6976424
751	233.6808124
752	233.6594683
753	233.4981438
754	233.4482133
755	233.4084743
756	233.3792586
757	233.345287
758	233.3119872
759	233.2718204
760	233.2541193
761	233.1807719
762	233.1094101
763	232.9984824
764	232.9586823
765	232.9106311
766	232.8841351
767	232.8329271
768	232.7204951
769	232.6706941
770	232.557013
771	232.5355189
772	232.4856705
773	232.3744529
774	232.3336084
775	232.3001245
776	232.2117589
777	232.1624899
778	232.1228044
779	232.0545118
780	231.9511078
781	231.8462957
782	231.7844521
783	231.7382094
784	231.649551
785	231.6064629
786	231.5294736
787	231.4211453
788	231.3623024
789	231.3186508
790	231.3013888
791	231.2501442
792	231.1473776
793	231.0645722
794	231.0141708
795	230.959177
796	230.8977089
797	230.8087435
798	230.7766663
799	230.7321645
800	230.6826581
801	230.6471405
802	230.5408774
803	230.469785
804	230.3714367
805	230.2873277
806	230.2167956
807	230.1977794
808	230.0232257
809	229.9363451
810	229.8440937
811	229.7830383
812	229.6511265
813	229.6118448
814	229.5867153
815	229.5184429
816	229.4536149
817	229.4052092
818	229.3533748
819	229.2609364
820	229.2223876
821	229.1671222
822	229.0945261
823	228.8908569
824	228.8455522
825	228.7275497
826	228.6919824
827	228.6285552
828	228.5903285
829	228.5239108
830	228.4431497
831	228.4267589
832	228.3473543
833	228.2880689
834	228.2709752
835	228.2347006
836	228.1498277
837	228.1097545
838	228.0879288
839	227.9825586
840	227.9264591
841	227.8740813
842	227.8517949
843	227.8266306
844	227.7474471
845	227.7081798
846	227.6510161
847	227.5594095
848	227.3761016
849	227.3538542
850	227.3131935
851	227.2421616
852	227.2136388
853	227.1433507
854	227.0698118
855	227.0327217
856	226.9981121
857	226.9485669
858	226.7565373
859	226.6864758
860	226.5779066
861	226.5005543
862	226.4236645
863	226.3253704
864	226.2770575
865	226.0588395
866	225.9887786
867	225.871863
868	225.7772435
869	225.7313461
870	225.6777028
871	225.5948849
872	225.554583
873	225.5368074
874	225.4579467
875	225.4041176
876	225.3366238
877	225.3122177
878	225.2975728
879	225.1088191
880	224.9690115
881	224.8663203
882	224.8487001
883	224.6576385
884	224.6338615
885	224.5013899
886	224.4467249
887	224.4076484
888	224.3258826
889	224.1795797
890	224.1286584
891	224.0620035
892	224.0357897
893	224.0218877
894	223.959788
895	223.9294044
896	223.8951094
897	223.8392099
898	223.7897115
899	223.7539514
900	223.7167658
901	223.6446403
902	223.5243387
903	223.4594367
904	223.3600494
905	223.3139802
906	223.3032356
907	223.253716
908	223.1929475
909	223.1702019
910	223.1300233
911	223.1140393
912	222.9308211
913	222.8822773
914	222.8650947
915	222.8185486
916	222.7696951
917	222.7286702
918	222.6862196
919	222.6344594
920	222.5901807
921	222.5756584
922	222.5506966
923	222.4849232
924	222.4170251
925	222.3424127
926	222.3155227
927	222.2842611
928	222.1885304
929	222.168435
930	222.1212771
931	222.0838998
932	222.0143422
933	221.9859979
934	221.9651809
935	221.9167367
936	221.8922407
937	221.8392235
938	221.7953507
939	221.7773146
940	221.7356886
941	221.6803171
942	221.6613955
943	221.5966113
944	221.5467757
945	221.5001983
946	221.4702148
947	221.4253508
948	221.3898318
949	221.3754111
950	221.3298227
951	221.2713885
952	221.2167704
953	221.1941661
954	221.1832857
955	221.1133462
956	221.05974
957	221.0293437
958	221.0166485
959	220.9775322
960	220.9278527
961	220.9002564
962	220.8465902
963	220.7908723
964	220.6746325
965	220.6489951
966	220.5852135
967	220.5307711
968	220.4656299
969	220.4115121
970	220.3226783
971	220.2995951
972	220.2613731
973	220.2312127
974	220.1710197
975	220.148374
976	220.0734543
977	220.0361417
978	219.9966777
979	219.9707633
980	219.9112417
981	219.7923154
982	219.7803168
983	219.7473814
984	219.7023721
985	219.6837594
986	219.6088796
987	219.5423075
988	219.5050038
989	219.4378956
990	219.3683098
991	219.3320356
992	219.2138466
993	219.1608605
994	218.9383269
995	218.9075033
996	218.8420033
997	218.8189298
998	218.7960778
999	218.7841408
